run,commodities,paths,obj_exact,mip_GAP,status,time_exact,case_num
0.0,450.0,450.0,3356.8865966348594,0.6347647371166112,9.0,2052.8873796463013,5
1.0,450.0,450.0,3701.2359910013543,0.6281095590027002,9.0,2055.861657857895,5
2.0,450.0,450.0,3005.5273126298443,0.8403383518184193,9.0,2055.279052257538,5
3.0,450.0,450.0,2764.7741255324554,0.6347294483696527,9.0,2052.567882299423,5
4.0,450.0,450.0,3781.98281693034,0.6431985356752451,9.0,2051.365566968918,5
5.0,450.0,450.0,3281.611942143313,0.7288520813967113,9.0,2053.0062170028687,5
6.0,450.0,450.0,3575.29786195209,0.6096680162684098,9.0,2054.242015361786,5
7.0,450.0,450.0,3807.8291562294335,0.6375695719940052,9.0,2053.398089647293,5
8.0,450.0,450.0,3353.668630023969,0.6538480620501662,9.0,2054.2787702083588,5
9.0,450.0,450.0,2787.68280998225,0.6026567903357304,9.0,2052.291813850403,5
0.0,450.0,20.0,3165.618894287566,0.2322272248596271,9.0,1800.8860459327698,7
1.0,450.0,20.0,2625.5115178401616,0.2722443599335964,9.0,1800.923315525055,7
2.0,450.0,20.0,2685.0457077123046,0.2621972786266417,9.0,1800.8873500823977,7
3.0,450.0,20.0,2988.319497006601,0.3109880088194883,9.0,1800.8748500347135,7
4.0,450.0,20.0,2771.808628589268,0.2600009128234876,9.0,1801.007249832153,7
5.0,450.0,20.0,3103.0409575737003,0.2787476200255789,9.0,1800.9842970371246,7
6.0,450.0,20.0,2846.17726223465,0.2820699878952638,9.0,1800.9033873081207,7
7.0,450.0,20.0,2717.382897582313,0.2264409735199986,9.0,1800.8835926055908,7
8.0,450.0,20.0,2910.5641869349865,0.2478386567219496,9.0,1800.9079439640043,7
9.0,450.0,20.0,2891.986940932932,0.2695449649381354,9.0,1800.8889424800873,7
0.0,20.0,450.0,225.0038282864568,0.0,2.0,14.398591995239258,6
1.0,20.0,450.0,250.7491678977499,3.98700842098066e-05,2.0,15.949467182159424,6
2.0,20.0,450.0,109.10467590317069,0.0,2.0,13.523034572601318,6
3.0,20.0,450.0,151.03063933941496,0.0,2.0,13.284810781478882,6
4.0,20.0,450.0,74.87250308859483,0.0,2.0,14.554625988006592,6
5.0,20.0,450.0,130.21825019327332,5.924910257983483e-05,2.0,15.493898153305054,6
6.0,20.0,450.0,337.90400915392,0.0,2.0,14.758300065994264,6
7.0,20.0,450.0,214.1778867732535,1.0410588629192049e-05,2.0,17.149519443511963,6
8.0,20.0,450.0,129.077071706984,0.0,2.0,17.62535285949707,6
9.0,20.0,450.0,207.3620451304891,7.70295153198603e-05,2.0,14.714481353759766,6
0.0,20.0,20.0,105.87623470476731,0.0,2.0,0.0589656829833984,0
1.0,20.0,20.0,78.5763066536279,0.0,2.0,0.0640349388122558,0
2.0,20.0,20.0,86.32038647046654,0.0,2.0,0.0552370548248291,0
3.0,20.0,20.0,289.8213254193174,0.0,2.0,0.1061997413635253,0
4.0,20.0,20.0,247.56082670536523,0.0,2.0,0.0947794914245605,0
5.0,20.0,20.0,181.7800543986949,0.0,2.0,0.0704271793365478,0
6.0,20.0,20.0,289.1849575610196,0.0,2.0,0.0733954906463623,0
7.0,20.0,20.0,175.96519986233614,0.0,2.0,0.0568442344665527,0
8.0,20.0,20.0,180.4926185044366,0.0,2.0,0.107602834701538,0
9.0,20.0,20.0,205.64911724356935,0.0,2.0,0.1051273345947265,0
0.0,56.0,56.0,580.4621340327542,0.0,2.0,21.543061017990112,1
1.0,56.0,56.0,727.6505844342146,0.0,2.0,49.01075196266174,1
2.0,56.0,56.0,463.0608262195345,0.0,2.0,15.21941375732422,1
3.0,56.0,56.0,597.6809872683963,0.0,2.0,36.781485080718994,1
4.0,56.0,56.0,620.3341575596352,0.0,2.0,103.76685857772829,1
5.0,56.0,56.0,405.7864457096454,0.0,2.0,25.15301394462585,1
6.0,56.0,56.0,597.9861666054335,0.0,2.0,43.39117097854614,1
7.0,56.0,56.0,484.3239203762947,0.0,2.0,21.44882297515869,1
8.0,56.0,56.0,567.1529643643814,0.0,2.0,24.60457754135132,1
9.0,56.0,56.0,425.8194870938301,0.0,2.0,21.126638650894165,1
0.0,90.0,90.0,778.3996340617786,0.1701606385221016,9.0,1802.3590364456177,2
1.0,90.0,90.0,774.9496919716843,0.0,2.0,364.8419160842896,2
2.0,90.0,90.0,660.0067361930412,0.0716487922378566,9.0,1802.217229604721,2
3.0,90.0,90.0,681.4837671137327,0.0779597104741543,9.0,1802.1892721652985,2
4.0,90.0,90.0,954.9345330554798,0.0,2.0,810.140013217926,2
5.0,90.0,90.0,1137.7223452893202,0.0,2.0,668.2318561077118,2
6.0,90.0,90.0,896.6030829640811,0.0,2.0,1594.6462655067444,2
7.0,90.0,90.0,789.0557315652984,0.0505239288367511,9.0,1802.2537984848025,2
8.0,90.0,90.0,869.1924231852533,0.0,2.0,407.9634325504303,2
9.0,90.0,90.0,580.6309754157865,0.0331963168011298,9.0,1802.2380034923556,2
0.0,180.0,180.0,1139.5033049718331,0.3083453501272352,9.0,1816.2780275344849,3
1.0,180.0,180.0,1508.86859621534,0.2284050378582392,9.0,1816.284951210022,3
2.0,180.0,180.0,1645.3782237552236,0.2304756667080564,9.0,1816.2073757648468,3
3.0,180.0,180.0,1446.4902200867778,0.3469174794697183,9.0,1816.1321532726288,3
4.0,180.0,180.0,1394.701810342247,0.4133288086751236,9.0,1816.0234303474424,3
5.0,180.0,180.0,1177.1617415631297,0.2682475537225322,9.0,1816.121407032013,3
6.0,180.0,180.0,1731.460380966928,0.2951436081773101,9.0,1816.077355861664,3
7.0,180.0,180.0,1728.277214279603,0.2827483592474379,9.0,1816.2931356430051,3
8.0,180.0,180.0,1746.4220632187696,0.2300357013581326,9.0,1816.3567142486568,3
9.0,180.0,180.0,1383.2416307326644,0.2904665694982724,9.0,1816.0988171100616,3
0.0,360.0,360.0,2653.582044071808,0.4922978822752072,9.0,1935.2382724285128,4
1.0,360.0,360.0,2495.8970569950443,0.5465715048950501,9.0,1933.921234369278,4
2.0,360.0,360.0,2758.318914203876,0.4139878991868113,9.0,1933.6586525440216,4
3.0,360.0,360.0,2190.063715138018,0.524579893740864,9.0,1935.881772518158,4
4.0,360.0,360.0,2827.832072760124,0.4828420806072358,9.0,1932.8536460399628,4
5.0,360.0,360.0,2591.346186307996,0.4542242713412295,9.0,1932.9149281978607,4
6.0,360.0,360.0,2679.3877950930164,0.4734075200440507,9.0,1935.9318194389343,4
7.0,360.0,360.0,2699.572891121791,0.4937694632370353,9.0,1935.088941574097,4
8.0,360.0,360.0,2963.5601911284853,0.4679483911880148,9.0,1934.215185403824,4
9.0,360.0,360.0,2491.771777222668,0.5335714387463361,9.0,1935.8553597927091,4
