run,commodities,paths,obj_exact,mip_GAP,status,time_exact,case_num
9.0,1.0,90.0,1812.4120000000007,0.0,2.0,1.2508430480957031,2.0
10.0,1.0,90.0,1523.5779999999995,0.0,2.0,1.1710124015808103,2.0
11.0,1.0,90.0,2029.0750000000005,0.0,2.0,1.174628973007202,2.0
12.0,1.0,90.0,2732.532000000001,0.0,2.0,1.2134020328521729,2.0
13.0,1.0,90.0,2361.0860000000007,0.0,2.0,1.2359216213226318,2.0
14.0,1.0,90.0,2569.8589999999986,0.0,2.0,1.1883525848388672,2.0
15.0,1.0,90.0,391.7739999999999,0.0,2.0,1.183056354522705,2.0
16.0,1.0,90.0,2653.476999999999,0.0,2.0,1.2473175525665283,2.0
17.0,1.0,90.0,1966.281,0.0,2.0,1.1730706691741943,2.0
18.0,1.0,90.0,1405.7840000000006,0.0,2.0,1.199021577835083,2.0
19.0,1.0,90.0,2274.2930000000006,0.0,2.0,1.2204842567443848,2.0
20.0,1.0,90.0,2310.574,0.0,2.0,1.1828718185424805,2.0
21.0,1.0,90.0,1150.2250000000004,0.0,2.0,1.170865535736084,2.0
22.0,1.0,90.0,2151.5229999999992,0.0,2.0,1.252597093582153,2.0
23.0,1.0,90.0,2128.688,0.0,2.0,1.1660683155059814,2.0
24.0,1.0,90.0,1888.094,0.0,2.0,1.163990497589111,2.0
25.0,1.0,90.0,919.147,0.0,2.0,1.1640217304229736,2.0
26.0,1.0,90.0,662.4549999999999,0.0,2.0,1.2452352046966553,2.0
27.0,1.0,90.0,2354.9030000000007,0.0,2.0,1.2585070133209229,2.0
28.0,1.0,90.0,2796.2740000000003,0.0,2.0,1.3485157489776611,2.0
29.0,1.0,90.0,2820.0070000000005,0.0,2.0,1.164011001586914,2.0
0.0,1.0,180.0,1853.7870000000005,0.0,2.0,5.122530937194824,3.0
1.0,1.0,180.0,4273.075000000002,0.0,2.0,4.884989023208618,3.0
2.0,1.0,180.0,2553.4530000000004,0.0,2.0,5.141369104385376,3.0
3.0,1.0,180.0,5417.202829312219,4.045827610392855e-05,2.0,5.026689052581787,3.0
4.0,1.0,180.0,1684.6530000000005,0.0,2.0,4.884034872055054,3.0
5.0,1.0,180.0,1743.0869999999998,0.0,2.0,5.144744396209717,3.0
6.0,1.0,180.0,5200.971618208403,5.143628424998069e-05,2.0,5.0426976680755615,3.0
7.0,1.0,180.0,3993.015000000001,0.0,2.0,4.842002868652344,3.0
8.0,1.0,180.0,4296.261000000003,0.0,2.0,5.016455888748169,3.0
9.0,1.0,180.0,3782.729000000031,0.0,2.0,7.832750797271728,3.0
10.0,1.0,180.0,3523.4309999999987,0.0,2.0,4.938616991043091,3.0
11.0,1.0,180.0,1464.8100000000002,0.0,2.0,4.89167046546936,3.0
12.0,1.0,180.0,5350.521999999997,0.0,2.0,4.945056200027466,3.0
13.0,1.0,180.0,2438.5070000000005,0.0,2.0,5.279752254486084,3.0
14.0,1.0,180.0,3636.549000000002,0.0,2.0,5.5944788455963135,3.0
15.0,1.0,180.0,991.3589999999996,0.0,2.0,5.08515739440918,3.0
16.0,1.0,180.0,5177.190999999999,0.0,2.0,4.997302055358887,3.0
17.0,1.0,180.0,3225.33,0.0,2.0,5.1843554973602295,3.0
18.0,1.0,180.0,4668.460999999999,0.0,2.0,5.22923755645752,3.0
19.0,1.0,180.0,1295.268,0.0,2.0,5.171542644500732,3.0
20.0,1.0,180.0,4182.342999999998,0.0,2.0,5.071077585220337,3.0
21.0,1.0,180.0,6128.001,0.0,2.0,4.80394434928894,3.0
22.0,1.0,180.0,4871.591,0.0,2.0,4.9620397090911865,3.0
23.0,1.0,180.0,4159.427000000002,0.0,2.0,4.923540830612183,3.0
24.0,1.0,180.0,3238.354,0.0,2.0,5.0646071434021,3.0
25.0,1.0,180.0,3062.169000000002,0.0,2.0,4.9938623905181885,3.0
26.0,1.0,180.0,3170.0070000000014,0.0,2.0,4.9548869132995605,3.0
